Timestamp,Name,Age,Gender,How often do you use the Orange Line Train?, What is your primary reason for using the Orange Line Train?,How punctual is the train service in your experience?,How do you rate the efficiency of the queue management system at ticket counters?,"How clean are the train stations, including the platforms and waiting areas?",How do you rate the cleanliness and maintenance of rest-rooms for passenger use? ,How often are the train stations and carriages cleaned and maintained?,How comfortable are the seats in the train carriages for extended journeys?,"Are the train stations and carriages accessible for people with disabilities (e.g., ramps, elevators)?","Is the temperature inside the train carriages comfortable, with appropriate cooling or heating systems?",Do you feel safe while traveling on the Orange Line Metro Train?,Have you ever witnessed or experienced any unsafe situations on the Orange Line Metro Train?,"Are there sufficient security measures, such as guards, CCTV cameras, and emergency response systems, in place?",How helpful and attentive are the staff members in assisting passengers with their needs?,Are real-time updates about train schedules and delays provided effectively?,Are there sufficient banners and information posters/screens inside station's premises?,Are the ticket prices reasonable and affordable for the majority of passengers?,Are there any special discounts or deals available for frequent riders or certain passenger groups?,How satisfied are you with the overall service quality of the Orange Line Metro Train?,How likely are you to recommend the Orange Line Metro Train to others?
2024/12/25 10:51:06 AM GMT+5,Rana,<20,Male,Once or twice a year,Leisure,1,2,2,3,2,2,Don't know,Yes,Yes,5,Maybe,3,Yes,Don't know,Yes,Yes,2,2
2024/12/25 11:06:47 AM GMT+5,Shaigan Ali Haider ,<20,Male,Once or twice a week,Study,5,4,4,4,5,2,Yes,Yes,Yes,3,Yes,4,Yes,Yes,No,No,4,4
2024/12/25 12:10:47 PM GMT+5,Ameer Hamza,<20,Male,Once or twice a month,Study,1,1,1,1,1,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,Don't know,1,1
2024/12/25 12:28:26 PM GMT+5,AQIB JAVED KHOKHAR ,<20,Male,Once or twice a month,Leisure,2,2,2,3,2,3,Don't know,Yes,Yes,5,Maybe,3,Don't know,Don't know,Yes,Yes,2,3
2024/12/25 2:56:39 PM GMT+5,Abdul Wahab Qaisar ,<20,Male,Once or twice a year,Leisure,5,3,3,3,3,4,Yes,Yes,Yes,4,Maybe,2,Don't know,Don't know,Yes,Don't know,3,3
2024/12/25 2:57:40 PM GMT+5,Shaheer mehmood ,<20,Male,Once or twice a month,Study,4,3,4,4,3,3,Yes,No,Yes,5,Yes,5,No,Yes,Yes,No,2,2
2024/12/25 2:57:48 PM GMT+5,Simran Butt,<20,Female,Once or twice a month,Leisure,1,1,1,2,1,1,Don't know,Yes,Yes,5,Maybe,3,Yes,Yes,Yes,No,1,1
2024/12/25 2:57:52 PM GMT+5,Muhammed Arshad,<20,Male,Once or twice a month,Study,2,2,1,1,2,1,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,2,1
2024/12/25 3:00:33 PM GMT+5,Hassaan Ahmad,<20,Male,Once or twice a month,Study,1,1,1,1,1,3,Don't know,Yes,Yes,5,Yes,2,Yes,Yes,Yes,Don't know,1,1
2024/12/25 3:00:36 PM GMT+5,AQIB ,<20,Male,Once or twice a week,Study,2,2,3,3,2,3,Yes,Yes,Yes,2,Yes,2,Yes,No,Yes,Don't know,3,2
2024/12/25 3:02:01 PM GMT+5,Muhammad Haider ,<20,Male,Once or twice a month,Study,1,1,1,2,1,2,Don't know,Don't know,Yes,5,Yes,3,Don't know,Yes,Yes,Don't know,2,2
2024/12/25 3:02:03 PM GMT+5,AQIB JAVED KHOKHAR ,<20,Male,Once or twice a month,Study,3,2,3,2,2,2,Don't know,No,Yes,2,Maybe,2,No,No,Yes,Don't know,1,2
2024/12/25 3:02:43 PM GMT+5,Muhammad Hannan Baig,<20,Male,Once or twice a year,Leisure,1,1,2,2,2,3,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,Don't know,2,2
2024/12/25 3:02:43 PM GMT+5,Hassaan Ahmad,<20,Male,Once or twice a month,Study,1,1,1,1,1,1,Don't know,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Don't know,1,1
2024/12/25 3:03:55 PM GMT+5,Ali,<20,Male,Once or twice a year,Leisure,1,1,1,3,3,5,No,Don't know,Yes,5,Yes,5,No,Yes,Yes,Don't know,3,1
2024/12/25 3:10:06 PM GMT+5,Aqib Khokhar ,<20,Male,Everday,Work,3,2,2,3,3,2,No,Don't know,No,2,No,2,Don't know,Don't know,Yes,Don't know,3,3
2024/12/25 3:11:19 PM GMT+5,Umair Aqib,21-30,Male,Once or twice a week,Work,3,3,3,4,2,4,Yes,Don't know,Yes,3,Maybe,2,Yes,Yes,No,Don't know,3,3
2024/12/25 3:12:26 PM GMT+5,Habiba Aq.. ,21-30,Female,Once or twice a year,Leisure,2,2,3,3,2,2,Don't know,Don't know,No,2,Maybe,2,Yes,No,Yes,Don't know,3,3
2024/12/25 3:15:48 PM GMT+5,Muhammad Adeel,<20,Male,Everday,Study,4,3,4,4,4,2,Yes,Yes,Yes,3,Yes,5,Yes,Yes,Yes,No,4,3
2024/12/25 3:27:25 PM GMT+5,AFS,<20,Female,Once or twice a year,Study,3,1,2,3,2,1,Yes,Yes,Yes,3,Maybe,3,Yes,Yes,Yes,Don't know,3,3
2024/12/25 3:28:43 PM GMT+5,Rayyan ,<20,Male,Once or twice a month,Work,3,1,2,2,4,2,Don't know,No,Yes,2,Yes,2,No,Don't know,Don't know,No,3,2
2024/12/25 3:28:57 PM GMT+5,Wajid,21-30,Male,Once or twice a month,Study,1,1,1,1,1,1,Yes,Yes,Yes,1,Yes,1,Yes,No,Yes,No,1,1
2024/12/25 3:32:16 PM GMT+5,Aatka Ishaq ,<20,Female,Once or twice a year,Leisure,1,3,2,2,3,1,Don't know,Don't know,Yes,5,Yes,3,Don't know,Don't know,Don't know,Don't know,3,2
2024/12/25 3:35:31 PM GMT+5,Muhammad Mubeen ,21-30,Male,Everday,Study,1,2,2,2,2,5,Yes,Yes,Yes,3,Maybe,2,Yes,Yes,Don't know,No,2,1
2024/12/25 3:36:45 PM GMT+5,Misbah Saeed,<20,Female,Once or twice a year,For going market ,1,1,1,2,1,3,Don't know,Don't know,Yes,5,Maybe,2,Don't know,No,Yes,Don't know,1,1
2024/12/25 5:01:04 PM GMT+5,Aleeza,<20,Female,Once or twice a year,Leisure,2,2,2,2,3,2,Don't know,Don't know,Yes,5,Maybe,3,Don't know,Don't know,Yes,Don't know,2,2
2024/12/25 5:01:25 PM GMT+5,Dewan das ,21-30,Male,Once or twice a month,Leisure,1,5,5,4,4,5,Yes,Yes,Yes,3,Yes,5,Yes,Yes,Yes,No,5,5
2024/12/25 5:41:40 PM GMT+5,Unknown ,50+,Male,Once or twice a year,Leisure,1,3,2,3,2,2,Yes,Yes,Yes,3,Yes,2,Don't know,Yes,Yes,Don't know,2,1
2024/12/25 6:01:30 PM GMT+5,AymenIqbal,<20,Female,Once or twice a year,Study,1,1,1,2,1,2,Don't know,No,Yes,5,Maybe,3,Don't know,Don't know,Yes,Don't know,3,3
2024/12/25 6:43:39 PM GMT+5,Arooj,21-30,Female,Once or twice a week,Study,1,2,1,2,2,4,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2024/12/25 6:50:14 PM GMT+5,Mahnoor Asad,21-30,Female,Once or twice a month,Work,1,2,2,2,1,2,Yes,Yes,Yes,4,Yes,2,Yes,Yes,Yes,No,2,1
2024/12/25 9:28:56 PM GMT+5,Asma,<20,Female,Everday,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,1,1
2024/12/25 11:06:41 PM GMT+5,Uzma,41-50,Female,Once or twice a month,Study,1,3,1,2,1,2,Don't know,Yes,Yes,4,Maybe,3,Yes,Yes,Yes,No,1,1
2024/12/26 4:11:27 PM GMT+5,Aaiz Khan,21-30,Male,Once or twice a month,Work,1,2,2,2,2,2,Yes,Yes,Yes,5,Yes,3,Don't know,Yes,Yes,Don't know,2,2
2024/12/26 5:59:42 PM GMT+5,Hamza,<20,Male,Once or twice a month,Study,1,2,2,1,2,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2024/12/27 12:38:55 PM GMT+5,Aaliyan Asim ,<20,Male,Once or twice a month,Leisure,1,4,2,3,1,5,Yes,Yes,Yes,5,Maybe,2,Yes,Yes,Yes,No,1,1
2024/12/27 1:48:14 PM GMT+5,Muhammad Bilal,<20,Male,Once or twice a month,Other chores,1,2,2,4,2,3,Yes,Yes,Yes,5,Maybe,3,Don't know,Don't know,Yes,Don't know,2,1
2024/12/28 6:43:21 PM GMT+5,Rutaba,31-40,Female,Once or twice a year,Leisure,1,1,1,3,1,3,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2025/01/01 2:25:57 PM GMT+5,Muhammad Hassan Liaqat bitf24m529,<20,Male,Once or twice a month,Work,3,2,1,2,1,2,Don't know,Yes,Yes,4,Maybe,2,Don't know,Yes,Yes,Yes,2,1
2025/01/01 2:26:33 PM GMT+5,ayza gull,<20,Female,Once or twice a year,Leisure,1,2,1,3,3,3,Don't know,Don't know,Yes,5,Yes,2,Don't know,No,Yes,Don't know,2,2
2025/01/01 2:32:01 PM GMT+5,Abdullah Naveed,<20,Male,Once or twice a year,Work,1,2,1,3,1,4,Don't know,Yes,Yes,5,Yes,3,Yes,No,Yes,Don't know,2,2
2025/01/01 2:41:37 PM GMT+5,Waleed dar,<20,Male,Once or twice a year,Leisure,2,3,3,4,2,4,Don't know,Don't know,Yes,5,Maybe,3,Yes,Yes,Yes,No,2,3
2025/01/01 2:42:24 PM GMT+5,Abdul Rehman,<20,Male,Once or twice a week,Study,1,1,1,1,1,1,No,Yes,Yes,1,Yes,1,No,Yes,Yes,Yes,1,1
2025/01/01 2:43:56 PM GMT+5,Muhammad Raffay Khan,<20,Male,Once or twice a month,Study,2,1,1,2,2,3,Yes,Yes,Yes,4,Yes,2,Don't know,Yes,No,No,1,1
2025/01/01 2:47:09 PM GMT+5,Bisma ,<20,Female,Everday,Study,1,2,1,2,2,2,Yes,No,Yes,5,Yes,2,Yes,Yes,Yes,No,2,2
2025/01/01 2:49:58 PM GMT+5,Rabbia Noor ,<20,Female,Once or twice a year,Study,4,3,2,2,2,2,Don't know,Yes,Yes,5,Yes,2,Don't know,Yes,Yes,Don't know,2,2
2025/01/01 2:51:12 PM GMT+5,Nida Tahir ,<20,Female,Everday,Study,1,2,2,2,1,2,Yes,Yes,Yes,5,Yes,1,Don't know,No,Yes,No,2,2
2025/01/01 3:14:57 PM GMT+5,Suleman Badar ,<20,Male,Once or twice a year,Leisure,4,2,4,3,3,3,Don't know,Don't know,Yes,5,Maybe,3,Don't know,Don't know,Don't know,No,3,2
2025/01/01 3:45:24 PM GMT+5,Syed Athar Mehmood,<20,Male,Once or twice a week,Study,1,4,1,3,1,1,Yes,Yes,Yes,1,Yes,1,Yes,Yes,Yes,Yes,1,1
2025/01/01 3:54:11 PM GMT+5,Fizza,<20,Female,Once or twice a month,Leisure,2,2,1,1,1,5,Don't know,Yes,Yes,5,Yes,2,Don't know,No,Yes,No,2,1
2025/01/01 4:22:13 PM GMT+5,Maryam Afzal ,<20,Female,Once or twice a month,Leisure,5,4,4,3,1,3,Yes,Yes,Yes,5,Maybe,2,Don't know,Yes,Yes,No,1,1
2025/01/01 4:22:46 PM GMT+5,Nabila,<20,Female,Once or twice a month,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,No,2,Yes,Yes,Yes,Don't know,2,1
2025/01/01 4:37:27 PM GMT+5,Iqra Ramzan ,<20,Female,Once or twice a month,Study,3,2,1,2,2,3,Don't know,Yes,Yes,4,Maybe,2,Don't know,Yes,Yes,Don't know,1,1
2025/01/01 5:06:03 PM GMT+5,khawaja Faizan Ijaz ,<20,Male,Once or twice a week,Study,1,1,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2025/01/01 5:42:20 PM GMT+5,Fahad ,<20,Male,Everday,Study,1,4,2,1,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,Yes,1,1
2025/01/01 6:32:40 PM GMT+5,Rabbia Nawaz ,<20,Female,Once or twice a year,Study,3,3,2,1,2,4,Yes,Yes,Yes,3,Maybe,3,Yes,No,Yes,No,2,1
2025/01/01 8:57:19 PM GMT+5,Mujtaba ,<20,Male,Everday,Study,1,3,1,4,2,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,Yes,2,1
2025/01/01 8:57:29 PM GMT+5,Ahmad,21-30,Male,Once or twice a week,Study,2,3,3,3,4,2,No,Yes,Yes,4,Yes,2,Yes,No,No,Yes,4,3
2025/01/01 8:58:05 PM GMT+5,Taaiba Usman ,<20,Female,Once or twice a year,Going somewhere ,3,3,3,3,3,3,Don't know,Don't know,No,3,Maybe,3,Don't know,Don't know,Don't know,Don't know,3,3
2025/01/01 9:05:26 PM GMT+5,Hfz talha,50+,Male,Once or twice a month,Work,1,5,3,3,2,5,Don't know,Yes,No,1,No,5,No,Yes,Yes,No,2,2
2025/01/01 9:16:53 PM GMT+5,Zarwa zahra,<20,Female,Once or twice a year,Study,1,1,1,3,2,2,Yes,Yes,Yes,5,Maybe,1,Don't know,Don't know,Yes,No,2,1
2025/01/01 9:22:59 PM GMT+5,-,<20,Female,Once or twice a year,Leisure,1,2,2,3,3,3,Yes,Yes,Yes,5,Maybe,3,Don't know,Yes,No,Yes,2,3
2025/01/02 2:08:01 AM GMT+5,Uzair Tariq ,<20,Male,Once or twice a month,Study,1,3,1,1,1,4,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,2
2025/01/02 4:27:57 AM GMT+5,Mamoon ,<20,Male,Once or twice a month,Study,1,2,1,1,1,1,Yes,Yes,Yes,1,Yes,1,Yes,Yes,Yes,Yes,1,1
2025/01/02 3:14:54 PM GMT+5,Ali Abdullah ,21-30,Male,Once or twice a week,As Transport ,2,2,1,3,1,1,Yes,Yes,Yes,5,Yes,2,Don't know,Yes,Yes,No,2,3
2025/01/02 3:18:08 PM GMT+5,Bilal Ahmad ,21-30,Male,Once or twice a week,Study,4,3,5,5,5,5,Yes,Yes,No,5,Maybe,1,Yes,Yes,Yes,No,3,1
2025/01/02 6:19:24 PM GMT+5,Malaika,21-30,Female,Everday,Study,1,2,1,1,1,1,Don't know,Yes,Yes,2,Yes,2,Don't know,Don't know,Yes,No,1,1
2025/01/02 6:39:05 PM GMT+5,Mahnoor ,<20,Female,Everday,Study,5,1,1,1,1,1,No,Yes,Yes,1,Yes,1,Yes,Yes,Yes,No,1,1
2025/01/02 7:57:39 PM GMT+5,Hira Rafique ,<20,Female,Once or twice a month,Study,5,5,5,5,5,5,Don't know,Don't know,Yes,5,Yes,5,No,Yes,Yes,Yes,1,1
2025/01/02 8:37:31 PM GMT+5,Abdul Rehman ,21-30,Male,Everday,Study,1,2,1,2,2,2,Yes,No,Yes,3,Maybe,1,Yes,No,Don't know,No,2,2
2025/01/02 10:36:34 PM GMT+5,Muhammad Hamza,<20,Male,Everday,Study,1,5,1,1,1,1,Don't know,Yes,Yes,5,Yes,3,Yes,Yes,Yes,Don't know,2,1
2025/01/03 6:53:39 PM GMT+5,Usairum khan,<20,Male,Everday,Study,1,2,2,4,1,2,Yes,Yes,Yes,4,Yes,2,Yes,Yes,Yes,No,2,1
2025/01/03 6:56:40 PM GMT+5,Kamal Nasir,21-30,Male,Everday,Work,1,1,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Don't know,1,1
2025/01/03 6:58:16 PM GMT+5,Hashir,<20,Male,Everday,Work,1,3,1,1,1,1,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2025/01/03 7:00:11 PM GMT+5,Shehroz,<20,Male,Once or twice a week,Leisure,3,3,1,2,2,3,No,No,Yes,5,Yes,3,No,No,Yes,Yes,4,4
2025/01/03 7:02:07 PM GMT+5,Fatima Safdar,21-30,Female,Everday,Leisure,2,2,3,3,1,1,Yes,Yes,Yes,4,No,2,Yes,No,Yes,No,2,1
2025/01/03 7:06:22 PM GMT+5,Bilal Jamil,21-30,Male,Everday,Study,2,3,1,2,1,3,No,Yes,Yes,5,Yes,2,Yes,Yes,Yes,Don't know,1,1
2025/01/03 7:09:16 PM GMT+5,Abdul Rehman,21-30,Male,Everday,Work,1,2,2,1,1,1,Yes,Yes,Yes,4,Yes,5,Yes,Yes,Yes,Yes,2,1
2025/01/03 7:14:51 PM GMT+5,Muhammad Afzal,50+,Male,Everday,Work,2,3,3,1,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,2,1
2025/01/03 7:17:00 PM GMT+5,Anees,21-30,Male,Everday,Work,1,3,1,3,1,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,2,1
2025/01/03 7:21:06 PM GMT+5,Muhammad Sameed ,<20,Male,Everday,Study,5,2,5,5,5,3,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,Yes,3,3
2025/01/03 7:21:37 PM GMT+5,Iqra Asghar ,<20,Female,Once or twice a month,Leisure,5,5,4,5,5,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,5,5
2025/01/03 7:21:58 PM GMT+5,Muhammad Noman,<20,Male,Once or twice a week,Study,1,1,1,1,1,1,Yes,No,No,2,No,5,Don't know,Don't know,No,Don't know,1,2
2025/01/03 7:22:18 PM GMT+5,Saqlain Khan ,21-30,Male,Everday,Study,1,4,1,1,1,3,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,2,1
2025/01/03 7:22:59 PM GMT+5,Aqsa Munawar ,<20,Female,Everday,Study,1,3,2,2,2,5,Yes,Yes,Yes,3,Yes,3,Yes,Yes,Yes,Yes,1,4
2025/01/03 7:23:13 PM GMT+5,Ahmad,21-30,Male,Once or twice a week,Study,1,3,1,3,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,2
2025/01/03 7:23:26 PM GMT+5,Talha Tariq,<20,Male,Everday,Study,1,2,1,3,2,2,Yes,Yes,Yes,2,Yes,1,Yes,Yes,Yes,No,2,2
2025/01/03 7:23:33 PM GMT+5,Rafaqat Ali ,21-30,Male,Everday,Study,2,1,1,2,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,Yes,1,1
2025/01/03 7:24:12 PM GMT+5,Ammar Ahmad ,<20,Male,Once or twice a month,Study,1,1,3,3,2,4,Yes,Don't know,Yes,5,Maybe,4,Yes,Yes,No,Don't know,2,1
2025/01/03 7:24:22 PM GMT+5,Muaz Khan,<20,Male,Once or twice a year,Leisure,2,1,2,3,1,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,2,2
2025/01/03 7:24:23 PM GMT+5,Abdullah ,21-30,Male,Everday,Study,2,5,2,3,3,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,2
2025/01/03 7:26:12 PM GMT+5,Uzair,<20,Male,Once or twice a year,Leisure,2,3,2,1,1,2,No,Yes,Yes,4,Yes,3,Yes,Yes,Yes,Don't know,2,2
2025/01/03 7:27:27 PM GMT+5,syeda hayqa gillani,<20,Female,Everday,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2025/01/03 7:28:33 PM GMT+5,mubashir abbas,21-30,Male,Once or twice a month,Study,1,4,2,2,2,2,Don't know,Yes,Yes,1,Yes,2,Yes,Yes,Yes,Don't know,2,1
2025/01/03 7:28:37 PM GMT+5,Ubaid,<20,Male,Everday,Study,1,2,1,2,1,1,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2025/01/03 7:28:43 PM GMT+5,M. Daniyal ,<20,Male,Everday,Study,4,3,4,4,4,4,Yes,No,Yes,4,No,4,Yes,Yes,No,No,4,4
2025/01/03 7:31:00 PM GMT+5,Muhammad Farzok Musaffar,50+,Male,Once or twice a week,Leisure,1,1,1,3,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2025/01/03 7:33:09 PM GMT+5,Aymon Zahra ,<20,Female,Everday,Study,1,4,3,3,2,2,Yes,Yes,Yes,4,Yes,3,Yes,Yes,Yes,No,3,2
2025/01/03 7:34:13 PM GMT+5,Abdul samad ,21-30,Male,Everday,Study,2,3,1,1,2,1,Yes,Yes,Yes,5,Yes,1,No,Yes,No,No,1,1
2025/01/03 7:34:43 PM GMT+5,Asad Mustafa ,<20,Male,Once or twice a week,Leisure,1,1,1,1,1,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,Yes,1,1
2025/01/03 7:36:10 PM GMT+5,Muddasir Rauf ,21-30,Male,Once or twice a week,Study,2,2,2,3,2,3,Don't know,Yes,Yes,4,Maybe,3,Yes,Yes,Yes,No,3,2
2025/01/03 7:38:21 PM GMT+5,Ubaidullah Khan,<20,Male,Once or twice a month,Study,1,1,1,1,1,1,Yes,Yes,Yes,1,Yes,1,Yes,Yes,Yes,Don't know,1,1
2025/01/03 7:38:39 PM GMT+5,Kashaf ,<20,Female,Once or twice a month,Study,1,2,1,2,2,1,Yes,Yes,Yes,4,Maybe,2,Yes,Yes,Yes,Don't know,2,1
2025/01/03 7:40:53 PM GMT+5,Junaid Babar,21-30,Male,Everday,Study,1,2,1,2,1,4,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,1,1
2025/01/03 7:42:16 PM GMT+5,Nimra,21-30,Female,Everday,Study,1,4,1,1,1,1,Yes,Yes,Yes,1,Yes,3,Yes,Yes,No,No,3,2
2025/01/03 7:52:17 PM GMT+5,Ahmad Hassan ,<20,Male,Once or twice a week,Study,2,3,3,3,3,3,Yes,No,Yes,4,Yes,2,Yes,Yes,Yes,Don't know,1,1
2025/01/03 7:52:27 PM GMT+5,Buhahaha,50+,Male,Everday,University ,1,5,3,3,3,3,No,No,No,3,No,3,No,No,No,No,3,3
2025/01/03 7:55:08 PM GMT+5,Ghulam Mustafa Tariq ,<20,Male,Everday,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,Maybe,2,No,Yes,Yes,No,1,1
2025/01/03 7:56:15 PM GMT+5,Hammad,<20,Male,Once or twice a week,Study,1,4,1,1,1,3,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,2,2
2025/01/03 8:02:17 PM GMT+5,Carlos Sainz,21-30,Male,Once or twice a month,Leisure,3,4,2,3,2,4,Don't know,Yes,Yes,5,No,2,Yes,Yes,Yes,Don't know,2,2
2025/01/03 8:18:30 PM GMT+5,Faria Khaliq ,21-30,Female,Once or twice a week,Study,1,1,1,1,1,1,Don't know,Yes,Yes,5,Yes,1,Don't know,Yes,Yes,No,1,1
2025/01/03 8:24:44 PM GMT+5,Samia,<20,Female,Once or twice a month,Leisure,1,2,1,1,1,2,Yes,Yes,Yes,1,Yes,1,Yes,Yes,Yes,Yes,1,1
2025/01/03 9:17:05 PM GMT+5,Ghulam Murtaza,21-30,Male,Once or twice a week,Work,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,No,1,1
2025/01/03 9:19:04 PM GMT+5,M.Aslam,50+,Male,Everday,Work,1,1,1,1,1,2,No,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,3,1
2025/01/03 9:21:04 PM GMT+5,Moazam,<20,Male,Once or twice a week,Work,5,2,4,2,2,2,Yes,Yes,Yes,5,Yes,1,No,Don't know,Yes,No,3,1
2025/01/03 9:22:45 PM GMT+5,Qasim,<20,Male,Everday,Study,3,1,1,2,1,2,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,No,3,1
2025/01/03 9:24:12 PM GMT+5,Husnain,21-30,Male,Everday,Work,1,1,1,2,1,2,Yes,Yes,No,4,Yes,1,Yes,Don't know,Yes,No,1,1
2025/01/03 9:25:41 PM GMT+5,Hammad,21-30,Male,Everday,Work,1,4,2,1,1,1,Yes,Yes,Yes,4,Yes,2,No,Don't know,Yes,No,2,1
2025/01/03 9:26:17 PM GMT+5,Muhammad Awais,<20,Male,Once or twice a month,Study,1,1,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2025/01/03 9:27:38 PM GMT+5,Umair ,21-30,Male,Once or twice a month,Work,1,3,1,1,1,1,Yes,Yes,Yes,3,No,1,Yes,Don't know,Yes,No,1,3
2025/01/03 9:29:23 PM GMT+5,Laiba Sehar,21-30,Female,Everday,Leisure,3,2,1,4,2,3,Yes,Yes,Yes,5,Yes,1,Yes,Don't know,Yes,No,2,2
2025/01/03 9:49:17 PM GMT+5,Sania Imran ,<20,Female,Once or twice a month,Market or other places ,1,3,1,1,1,1,Yes,Yes,Yes,3,Yes,3,No,Yes,Yes,No,1,1
2025/01/03 9:50:30 PM GMT+5,Faisal,21-30,Male,Everday,Work,1,3,1,3,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,2,1
